"chromosome"	"start"	"ratio"	"ratio_median"
1	850001	0.015	-0.005
1	900001	0.094	-0.005
1	950001	-0.17	-0.005
1	1000001	-0.255	-0.005
1	1050001	-0.022	-0.005
1	1100001	0.064	-0.005
1	1150001	-0.316	-0.005
1	1200001	-0.026	-0.005
1	1250001	0.036	-0.005
1	1300001	-0.03	-0.005
1	1450001	-0.043	-0.005
1	1500001	-0.004	-0.005
1	1700001	0.002	-0.005
1	1750001	-0.057	-0.005
1	1850001	-0.14	-0.005
1	1900001	-0.128	-0.005
1	1950001	-0.142	-0.005
1	2000001	-0.036	-0.005
1	2050001	-0.021	-0.005
1	2100001	-0.149	-0.005
1	2150001	-0.125	-0.005
1	2200001	0.018	-0.005
1	2250001	-0.164	-0.005
1	2300001	0.054	-0.005
1	2350001	-0.047	-0.005
1	2400001	-0.173	-0.005
1	2450001	-0.009	-0.005
1	2500001	-0.136	-0.005
1	2700001	-0.113	-0.005
1	2750001	-0.09	-0.005
1	2800001	-0.068	-0.005
1	2850001	0.044	-0.005
1	2900001	-0.106	-0.005
1	3000001	0.017	-0.005
1	3050001	0.059	-0.005
1	3100001	-0.14	-0.005
1	3150001	-0.111	-0.005
1	3200001	-0.105	-0.005
1	3250001	-0.041	-0.005
1	3300001	-0.126	-0.005
1	3350001	-0.137	-0.005
1	3400001	0.037	-0.005
1	3450001	-0.036	-0.005
1	3500001	0.025	-0.005
1	3550001	0	-0.005
1	3650001	0.024	-0.005
1	3700001	-0.031	-0.005
1	3750001	-0.066	-0.005
1	3800001	-0.024	-0.005
1	3950001	-0.091	-0.005
1	4000001	-0.116	-0.005
1	4050001	-0.087	-0.005
1	4100001	-0.122	-0.005
1	4150001	0.094	-0.005
1	4200001	-0.142	-0.005
1	4250001	-0.128	-0.005
1	4300001	-0.134	-0.005
1	4450001	0.014	-0.005
1	4500001	0.012	-0.005
1	4550001	-0.121	-0.005
1	4600001	-0.018	-0.005
1	4650001	-0.121	-0.005
1	4700001	-0.056	-0.005
1	4750001	-0.018	-0.005
1	4800001	-0.198	-0.005
1	4850001	-0.162	-0.005
1	4900001	0.063	-0.005
1	4950001	-0.036	-0.005
1	5000001	-0.092	-0.005
1	5050001	0.071	-0.005
1	5100001	0.032	-0.005
1	5150001	-0.247	-0.005
1	5200001	-0.09	-0.005
1	5250001	0.036	-0.005
1	5300001	-0.111	-0.005
1	5350001	-0.019	-0.005
1	5400001	0.169	-0.005
1	5450001	0.128	-0.005
1	5500001	-0.111	-0.005
1	5550001	0.004	-0.005
1	5600001	0.068	-0.005
1	5650001	0.069	-0.005
1	5750001	0.112	-0.005
1	5800001	-0.034	-0.005
1	5850001	-0.007	-0.005
1	5900001	-0.017	-0.005
1	5950001	0.115	-0.005
1	6000001	-0.045	-0.005
1	6050001	-0.028	-0.005
1	6100001	0.001	-0.005
1	6150001	-0.057	-0.005
1	6200001	0.075	-0.005
1	6250001	0.052	-0.005
1	6300001	0.013	-0.005
1	6350001	-0.097	-0.005
1	6400001	-0.117	-0.005
1	6450001	0.075	-0.005
1	6500001	-0.013	-0.005
1	6550001	-0.004	-0.005
1	6600001	-0.118	-0.005
1	6650001	0.04	-0.005
1	6700001	0.017	-0.005
1	6750001	-0.053	-0.005
1	6800001	-0.01	-0.005
1	6850001	0.052	-0.005
1	6900001	0.093	-0.005
1	6950001	-0.07	-0.005
1	7000001	0.034	-0.005
1	7050001	0.012	-0.005
1	7100001	0.025	-0.005
1	7150001	-0.099	-0.005
1	7200001	0.028	-0.005
1	7250001	-0.057	-0.005
1	7300001	0.119	-0.005
1	7350001	0.078	-0.005
1	7400001	-0.12	-0.005
1	7450001	0.035	-0.005
1	7500001	-0.096	-0.005
1	7550001	0.003	-0.005
1	7600001	-0.009	-0.005
1	7650001	0.042	-0.005
1	7700001	-0.044	-0.005
1	7750001	-0.147	-0.005
1	7800001	0.058	-0.005
1	7850001	-0.052	-0.005
1	7900001	0.088	-0.005
1	7950001	0.009	-0.005
1	8000001	0.077	-0.005
1	8050001	0.061	-0.005
1	8100001	-0.098	-0.005
1	8150001	0.096	-0.005
1	8200001	0.006	-0.005
1	8250001	-0.077	-0.005
1	8300001	0.118	-0.005
1	8350001	0.028	-0.005
1	8400001	-0.243	-0.005
1	8450001	-0.093	-0.005
1	8500001	0.039	-0.005
1	8550001	0.049	-0.005
1	8600001	0.032	-0.005
1	8650001	0.094	-0.005
1	8700001	0.032	-0.005
1	8750001	0.166	-0.005
1	8800001	-0.015	-0.005
1	8850001	0.038	-0.005
1	8900001	0.061	-0.005
1	8950001	-0.025	-0.005
1	9000001	0.034	-0.005
1	9050001	0.088	-0.005
1	9100001	0.07	-0.005
1	9150001	-0.166	-0.005
1	9200001	-0.057	-0.005
1	9250001	0.032	-0.005
1	9300001	0.049	-0.005
1	9350001	0.055	-0.005
1	9400001	-0.039	-0.005
1	9450001	-0.118	-0.005
1	9500001	-0.03	-0.005
1	9550001	0.036	-0.005
1	9600001	-0.098	-0.005
1	9650001	0.059	-0.005
1	9700001	-0.115	-0.005
1	9750001	0.004	-0.005
1	9800001	0.076	-0.005
1	9850001	-0.066	-0.005
1	9900001	0.051	-0.005
1	9950001	0.043	-0.005
1	10000001	-0.097	-0.005
1	10050001	-0.021	-0.005
1	10100001	-0.116	-0.005
1	10150001	0.078	-0.005
1	10200001	-0.001	-0.005
1	10250001	-0.173	-0.005
1	10300001	-0.036	-0.005
1	10350001	0.022	-0.005
1	10400001	-0.07	-0.005
1	10450001	0.051	-0.005
1	10500001	0.09	-0.005
1	10550001	-0.088	-0.005
1	10600001	-0.005	-0.005
1	10650001	0.027	-0.005
1	10700001	0.167	-0.005
1	10750001	-0.049	-0.005
1	10800001	0.006	-0.005
1	10850001	0.072	-0.005
1	10900001	0.037	-0.005
1	10950001	-0.032	-0.005
1	11000001	0.06	-0.005
1	11050001	-0.171	-0.005
1	11100001	-0.023	-0.005
1	11150001	-0.058	-0.005
1	11200001	-0.021	-0.005
1	11250001	0.052	-0.005
1	11300001	0.094	-0.005
1	11350001	0.083	-0.005
1	11400001	0.104	-0.005
1	11450001	-0.136	-0.005
1	11500001	-0.057	-0.005
1	11550001	-0.015	-0.005
1	11600001	-0.003	-0.005
1	11650001	-0.037	-0.005
1	11700001	0.008	-0.005
1	11750001	0.069	-0.005
1	11800001	-0.099	-0.005
1	11850001	-0.115	-0.005
1	11900001	-0.091	-0.005
1	11950001	0.035	-0.005
1	12000001	0.047	-0.005
1	12050001	0.139	-0.005
1	12100001	0.086	-0.005
1	12150001	-0.084	-0.005
1	12200001	0.05	-0.005
1	12250001	0.052	-0.005
1	12300001	-0.008	-0.005
1	12350001	0.176	-0.005
1	12400001	0.065	-0.005
1	12450001	-0.111	-0.005
1	12500001	-0.072	-0.005
1	12550001	0.064	-0.005
1	12600001	0.052	-0.005
