Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	1.40629	1.37141	3
1	50001	1.37141	1.37141	3
1	100001	0.978391	1.37141	3
1	150001	0.654234	0.562355	1
1	200001	0.670445	0.562355	1
1	250001	0.51315	0.562355	1
1	300001	0.562355	0.562355	1
1	350001	0.603833	0.562355	1
1	400001	0.398997	0.562355	1
1	450001	0.100031	0.562355	1
1	500001	2.38716	2.51418	5
1	550001	2.64119	2.51418	5
1	600001	0.926172	0.867638	2
1	650001	1.3548	0.867638	2
1	700001	1.30891	0.867638	2
1	750001	1.36089	0.867638	2
1	800001	1.44965	0.867638	2
1	850001	0.909764	0.867638	2
1	900001	0.846532	0.867638	2
1	950001	0.790401	0.867638	2
1	1000001	0.749349	0.867638	2
1	1050001	0.796518	0.867638	2
1	1100001	0.824905	0.867638	2
1	1150001	0.797535	0.867638	2
1	1200001	0.726692	0.867638	2
1	1250001	0.858541	0.867638	2
1	1300001	0.796686	0.867638	2
1	1350001	0.59148	0.867638	2
1	1400001	0.688821	0.867638	2
1	1450001	0.861207	0.867638	2
1	1500001	0.997738	0.867638	2
1	1550001	0.959486	0.867638	2
1	1600001	0.873567	0.867638	2
1	1650001	0.917959	0.867638	2
1	1700001	0.888331	0.867638	2
1	1750001	0.924821	0.867638	2
1	1800001	0.907635	0.867638	2
1	1850001	0.811389	0.867638	2
1	1900001	0.80565	0.867638	2
1	1950001	0.846247	0.867638	2
1	2000001	0.910534	0.867638	2
1	2050001	0.900704	0.867638	2
1	2100001	0.873844	0.867638	2
1	2150001	0.927821	0.867638	2
1	2200001	0.99619	0.867638	2
1	2250001	0.96236	0.867638	2
1	2300001	0.861709	0.867638	2
1	2350001	0.832037	0.867638	2
1	2400001	0.815324	0.867638	2
1	2450001	0.845123	0.867638	2
1	2500001	2.21399	2.21399	4
1	2550001	3.63164	2.21399	4
1	2600001	1.98099	2.21399	4
1	2650001	0.532885	0.884445	2
1	2700001	0.829325	0.884445	2
1	2750001	0.86317	0.884445	2
1	2800001	0.908074	0.884445	2
1	2850001	0.885318	0.884445	2
1	2900001	0.849615	0.884445	2
1	2950001	0.839894	0.884445	2
1	3000001	0.86615	0.884445	2
1	3050001	0.915464	0.884445	2
1	3100001	0.855386	0.884445	2
1	3150001	0.866069	0.884445	2
1	3200001	0.856141	0.884445	2
1	3250001	0.856196	0.884445	2
1	3300001	0.933284	0.884445	2
1	3350001	0.9147	0.884445	2
1	3400001	0.945043	0.884445	2
1	3450001	0.944718	0.884445	2
1	3500001	0.920617	0.884445	2
1	3550001	0.894845	0.884445	2
1	3600001	0.894848	0.884445	2
1	3650001	0.898644	0.884445	2
1	3700001	0.937895	0.884445	2
1	3750001	0.830114	0.884445	2
1	3800001	0.15707	0.884445	2
1	3850001	-1	0.884445	2
1	3900001	0	0.884445	2
1	3950001	0.334503	0.884445	2
1	4000001	0.866144	0.884445	2
1	4050001	0.909772	0.884445	2
1	4100001	0.892856	0.884445	2
1	4150001	0.82309	0.884445	2
1	4200001	0.908268	0.884445	2
1	4250001	0.938869	0.884445	2
1	4300001	0.980798	0.884445	2
1	4350001	0.942845	0.884445	2
1	4400001	0.844276	0.884445	2
1	4450001	0.905778	0.884445	2
1	4500001	0.864523	0.884445	2
1	4550001	0.835149	0.884445	2
1	4600001	0.879154	0.884445	2
1	4650001	0.904798	0.884445	2
1	4700001	0.885086	0.884445	2
1	4750001	0.867508	0.884445	2
1	4800001	0.891705	0.884445	2
1	4850001	0.859856	0.884445	2
1	4900001	0.939797	0.884445	2
1	4950001	0.980974	0.884445	2
1	5000001	0.917298	0.884445	2
1	5050001	0.853879	0.884445	2
1	5100001	0.822269	0.884445	2
1	5150001	0.825287	0.884445	2
1	5200001	0.841361	0.884445	2
1	5250001	0.844682	0.884445	2
1	5300001	0.870151	0.884445	2
1	5350001	0.953942	0.884445	2
1	5400001	0.893353	0.884445	2
1	5450001	0.815288	0.884445	2
1	5500001	0.79641	0.884445	2
1	5550001	0.80758	0.884445	2
1	5600001	0.918868	0.884445	2
1	5650001	1.4994	0.884445	2
1	5700001	1.48702	0.884445	2
1	5750001	0.843972	0.884445	2
1	5800001	0.814208	0.884445	2
1	5850001	0.938502	0.884445	2
1	5900001	1.06944	0.884445	2
1	5950001	0.985109	0.884445	2
1	6000001	0.841972	0.884445	2
1	6050001	0.86462	0.884445	2
1	6100001	0.938488	0.884445	2
1	6150001	0.975719	0.884445	2
1	6200001	0.941754	0.884445	2
1	6250001	0.875978	0.884445	2
1	6300001	0.945424	0.884445	2
1	6350001	0.906529	0.884445	2
1	6400001	0.831755	0.884445	2
1	6450001	0.819293	0.884445	2
1	6500001	0.926498	0.884445	2
1	6550001	1.05744	0.884445	2
1	6600001	0.939731	0.884445	2
1	6650001	0.845882	0.884445	2
1	6700001	0.833479	0.884445	2
1	6750001	0.882342	0.884445	2
1	6800001	0.859527	0.884445	2
1	6850001	0.87052	0.884445	2
1	6900001	0.994271	0.884445	2
1	6950001	0.975272	0.884445	2
1	7000001	0.817491	0.884445	2
1	7050001	0.816227	0.884445	2
1	7100001	0.8914	0.884445	2
1	7150001	0.852996	0.884445	2
1	7200001	0.858463	0.884445	2
1	7250001	0.882779	0.884445	2
1	7300001	0.85858	0.884445	2
1	7350001	0.862568	0.884445	2
1	7400001	0.972763	0.884445	2
1	7450001	0.962627	0.884445	2
1	7500001	0.874336	0.884445	2
1	7550001	0.935477	0.884445	2
1	7600001	0.952965	0.884445	2
1	7650001	0.925291	0.884445	2
1	7700001	0.885558	0.884445	2
1	7750001	0.841786	0.884445	2
1	7800001	0.857866	0.884445	2
1	7850001	0.864991	0.884445	2
1	7900001	0.926758	0.884445	2
1	7950001	0.946866	0.884445	2
1	8000001	0.841158	0.884445	2
1	8050001	0.814559	0.884445	2
1	8100001	0.913812	0.884445	2
1	8150001	0.991594	0.884445	2
1	8200001	0.908893	0.884445	2
1	8250001	0.834641	0.884445	2
1	8300001	0.884671	0.884445	2
1	8350001	0.912065	0.884445	2
1	8400001	0.927583	0.884445	2
1	8450001	0.902733	0.884445	2
1	8500001	0.906016	0.884445	2
1	8550001	0.918977	0.884445	2
1	8600001	0.891464	0.884445	2
1	8650001	0.857068	0.884445	2
1	8700001	0.809032	0.884445	2
1	8750001	0.809766	0.884445	2
1	8800001	0.882527	0.884445	2
1	8850001	0.941405	0.884445	2
1	8900001	0.899844	0.884445	2
1	8950001	0.819402	0.884445	2
1	9000001	0.806128	0.884445	2
1	9050001	0.835894	0.884445	2
1	9100001	0.859134	0.884445	2
1	9150001	0.905882	0.884445	2
1	9200001	0.886949	0.884445	2
1	9250001	0.915393	0.884445	2
1	9300001	0.935882	0.884445	2
1	9350001	0.865468	0.884445	2
1	9400001	0.871843	0.884445	2
1	9450001	0.887711	0.884445	2
1	9500001	0.875645	0.884445	2
1	9550001	0.842212	0.884445	2
1	9600001	0.854974	0.884445	2
1	9650001	0.863138	0.884445	2
1	9700001	0.870826	0.884445	2
1	9750001	0.913713	0.884445	2
1	9800001	0.90993	0.884445	2
1	9850001	0.908193	0.884445	2
1	9900001	0.907248	0.884445	2
1	9950001	0.848646	0.884445	2
1	10000001	0.890224	0.884445	2
1	10050001	0.849492	0.884445	2
1	10100001	0.789233	0.884445	2
1	10150001	0.807075	0.884445	2
1	10200001	0.856659	0.884445	2
1	10250001	0.907368	0.884445	2
1	10300001	0.90565	0.884445	2
1	10350001	0.882054	0.884445	2
1	10400001	0.850984	0.884445	2
1	10450001	0.88422	0.884445	2
1	10500001	0.843133	0.884445	2
1	10550001	0.857696	0.884445	2
1	10600001	0.886074	0.884445	2
1	10650001	0.849914	0.884445	2
1	10700001	0.715273	0.884445	2
1	10750001	0.768424	0.884445	2
1	10800001	0.866855	0.884445	2
1	10850001	0.862502	0.884445	2
1	10900001	0.836299	0.884445	2
1	10950001	0.842271	0.884445	2
1	11000001	0.941188	0.884445	2
1	11050001	0.945534	0.884445	2
1	11100001	1.00164	0.884445	2
1	11150001	1.059	0.884445	2
1	11200001	0.984369	0.884445	2
1	11250001	0.945858	0.884445	2
1	11300001	0.919585	0.884445	2
1	11350001	0.82647	0.884445	2
1	11400001	0.771991	0.884445	2
1	11450001	0.809716	0.884445	2
1	11500001	0.863521	0.884445	2
1	11550001	0.952242	0.884445	2
1	11600001	1.03397	0.884445	2
1	11650001	0.977805	0.884445	2
1	11700001	0.93839	0.884445	2
1	11750001	0.955506	0.884445	2
1	11800001	0.97625	0.884445	2
1	11850001	0.96452	0.884445	2
1	11900001	0.881775	0.884445	2
1	11950001	0.849678	0.884445	2
1	12000001	0.781847	0.884445	2
1	12050001	0.750885	0.884445	2
1	12100001	0.89324	0.884445	2
1	12150001	1.04324	0.884445	2
1	12200001	1.01419	0.884445	2
1	12250001	0.838419	0.884445	2
1	12300001	0.837009	0.884445	2
1	12350001	0.871082	0.884445	2
1	12400001	0.894948	0.884445	2
1	12450001	0.942263	0.884445	2
1	12500001	0.918795	0.884445	2
1	12550001	0.94888	0.884445	2
1	12600001	0.874534	0.884445	2
1	12650001	0.853624	0.884445	2
1	12700001	0.952543	0.884445	2
1	12750001	1.04728	0.884445	2
1	12800001	1.09193	0.884445	2
1	12850001	1.15136	0.884445	2
1	12900001	1.06497	0.884445	2
1	12950001	0.826808	0.884445	2
1	13000001	0.242974	0.473609	1
1	13050001	0.00384044	0.473609	1
1	13100001	0.636448	0.473609	1
1	13150001	0.617434	0.473609	1
1	13200001	0	0.473609	1
1	13250001	0	0.473609	1
1	13300001	0.327785	0.473609	1
1	13350001	0.558387	0.473609	1
1	13400001	0.674089	0.473609	1
1	13450001	0.502683	0.473609	1
1	13500001	0	0.473609	1
1	13550001	0.0475026	0.473609	1
1	13600001	0.615332	0.473609	1
1	13650001	0.59903	0.473609	1
1	13700001	0.473609	0.473609	1
1	13750001	0.733561	0.865909	2
1	13800001	0.851417	0.865909	2
1	13850001	0.849861	0.865909	2
1	13900001	0.885926	0.865909	2
1	13950001	0.889192	0.865909	2
1	14000001	0.854341	0.865909	2
1	14050001	0.829032	0.865909	2
1	14100001	0.874578	0.865909	2
1	14150001	0.887154	0.865909	2
1	14200001	0.896999	0.865909	2
1	14250001	0.870046	0.865909	2
1	14300001	0.83474	0.865909	2
1	14350001	0.85171	0.865909	2
1	14400001	0.831041	0.865909	2
1	14450001	0.821194	0.865909	2
1	14500001	0.883928	0.865909	2
1	14550001	0.904519	0.865909	2
1	14600001	0.88259	0.865909	2
1	14650001	0.85631	0.865909	2
1	14700001	0.871543	0.865909	2
1	14750001	0.881568	0.865909	2
1	14800001	0.821986	0.865909	2
1	14850001	0.880925	0.865909	2
1	14900001	0.861014	0.865909	2
1	14950001	0.776329	0.865909	2
1	15000001	0.853117	0.865909	2
1	15050001	0.972333	0.865909	2
1	15100001	0.901026	0.865909	2
1	15150001	0.793714	0.865909	2
1	15200001	0.85191	0.865909	2
1	15250001	0.912821	0.865909	2
1	15300001	0.95877	0.865909	2
1	15350001	0.904713	0.865909	2
1	15400001	0.779949	0.865909	2
1	15450001	0.80959	0.865909	2
1	15500001	0.869342	0.865909	2
1	15550001	0.865909	0.865909	2
1	15600001	0.836014	0.865909	2
1	15650001	0.825606	0.865909	2
1	15700001	0.899563	0.865909	2
1	15750001	0.912877	0.865909	2
1	15800001	0.880053	0.865909	2
1	15850001	0.812438	0.865909	2
1	15900001	0.831797	0.865909	2
1	15950001	0.911494	0.865909	2
1	16000001	0.862149	0.865909	2
1	16050001	0.847073	0.865909	2
1	16100001	0.77955	0.865909	2
1	16150001	0.817988	0.865909	2
1	16200001	0.869853	0.865909	2
1	16250001	0.803862	0.865909	2
1	16300001	0.7901	0.865909	2
1	16350001	0.841143	0.865909	2
1	16400001	0.902545	0.865909	2
1	16450001	0.863097	0.865909	2
1	16500001	0.927258	0.865909	2
1	16550001	0.969062	0.865909	2
1	16600001	0.926087	0.865909	2
1	16650001	0.874713	0.865909	2
1	16700001	0.88304	0.865909	2
1	16750001	1.15435	0.865909	2
1	16800001	2.13765	2.92121	6
1	16850001	3.69681	2.92121	6
1	16900001	3.75658	2.92121	6
1	16950001	2.86424	2.92121	6
1	17000001	2.92121	2.92121	6
1	17050001	1.80818	1.54175	3
1	17100001	0.667482	1.54175	3
1	17150001	1.54175	1.54175	3
1	17200001	2.04295	1.54175	3
1	17250001	1.29196	1.54175	3
1	17300001	0.93457	0.93733	2
1	17350001	0.979129	0.93733	2
1	17400001	0.902857	0.93733	2
1	17450001	0.849545	0.93733	2
1	17500001	0.939277	0.93733	2
