"Index","Chr_N","Chr_arm","Chr_band","Start","End"
1,1,1,"p36.33",0,2300000
2,1,1,"p36.32",2300000,5300000
3,1,1,"p36.31",5300000,7100000
4,1,1,"p36.23",7100000,9100000
5,1,1,"p36.22",9100000,12500000
6,1,1,"p36.21",12500000,15900000
7,1,1,"p36.13",15900000,20100000
8,1,1,"p36.12",20100000,23600000
9,1,1,"p36.11",23600000,27600000
10,1,1,"p35.3",27600000,29900000
11,1,1,"p35.2",29900000,32300000
12,1,1,"p35.1",32300000,34300000
13,1,1,"p34.3",34300000,39600000
14,1,1,"p34.2",39600000,43700000
15,1,1,"p34.1",43700000,46300000
16,1,1,"p33",46300000,50200000
17,1,1,"p32.3",50200000,55600000
18,1,1,"p32.2",55600000,58500000
19,1,1,"p32.1",58500000,60800000
20,1,1,"p31.3",60800000,68500000
21,1,1,"p31.2",68500000,69300000
22,1,1,"p31.1",69300000,84400000
23,1,1,"p22.3",84400000,87900000
24,1,1,"p22.2",87900000,91500000
25,1,1,"p22.1",91500000,94300000
26,1,1,"p21.3",94300000,99300000
27,1,1,"p21.2",99300000,101800000
28,1,1,"p21.1",101800000,106700000
29,1,1,"p13.3",106700000,111200000
30,1,1,"p13.2",111200000,115500000
31,1,1,"p13.1",115500000,117200000
32,1,1,"p12",117200000,120400000
33,1,1,"p11.2",120400000,121700000
34,1,1,"p11.1",121700000,123400000
35,1,2,"q11",123400000,125100000
36,1,2,"q12",125100000,143200000
37,1,2,"q21.1",143200000,147500000
38,1,2,"q21.2",147500000,150600000
39,1,2,"q21.3",150600000,155100000
40,1,2,"q22",155100000,156600000
41,1,2,"q23.1",156600000,159100000
42,1,2,"q23.2",159100000,160500000
43,1,2,"q23.3",160500000,165500000
44,1,2,"q24.1",165500000,167200000
45,1,2,"q24.2",167200000,170900000
46,1,2,"q24.3",170900000,173000000
47,1,2,"q25.1",173000000,176100000
48,1,2,"q25.2",176100000,180300000
49,1,2,"q25.3",180300000,185800000
50,1,2,"q31.1",185800000,190800000
51,1,2,"q31.2",190800000,193800000
52,1,2,"q31.3",193800000,198700000
53,1,2,"q32.1",198700000,207100000
54,1,2,"q32.2",207100000,211300000
55,1,2,"q32.3",211300000,214400000
56,1,2,"q41",214400000,223900000
57,1,2,"q42.11",223900000,224400000
58,1,2,"q42.12",224400000,226800000
59,1,2,"q42.13",226800000,230500000
60,1,2,"q42.2",230500000,234600000
61,1,2,"q42.3",234600000,236400000
62,1,2,"q43",236400000,243500000
63,1,2,"q44",243500000,248956422
64,2,1,"p25.3",0,4400000
65,2,1,"p25.2",4400000,6900000
66,2,1,"p25.1",6900000,12000000
67,2,1,"p24.3",12000000,16500000
68,2,1,"p24.2",16500000,19000000
69,2,1,"p24.1",19000000,23800000
70,2,1,"p23.3",23800000,27700000
71,2,1,"p23.2",27700000,29800000
72,2,1,"p23.1",29800000,31800000
73,2,1,"p22.3",31800000,36300000
74,2,1,"p22.2",36300000,38300000
75,2,1,"p22.1",38300000,41500000
76,2,1,"p21",41500000,47500000
77,2,1,"p16.3",47500000,52600000
78,2,1,"p16.2",52600000,54700000
79,2,1,"p16.1",54700000,61000000
80,2,1,"p15",61000000,63900000
81,2,1,"p14",63900000,68400000
82,2,1,"p13.3",68400000,71300000
83,2,1,"p13.2",71300000,73300000
84,2,1,"p13.1",73300000,74800000
85,2,1,"p12",74800000,83100000
86,2,1,"p11.2",83100000,91800000
87,2,1,"p11.1",91800000,93900000
88,2,2,"q11.1",93900000,96000000
89,2,2,"q11.2",96000000,102100000
90,2,2,"q12.1",102100000,105300000
91,2,2,"q12.2",105300000,106700000
